index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
64,0.97,355.855,364.097,"Seattle's police accountability system, including the CPC and the Council, have advised and approved SPD policies over the past ten years.",26,,
65,0.97,364.097,373.74,"If we follow the jury's findings, the responsibility for Charleena's killing lies with this Council, yet every one of you have remained strangely silent over this last week.",26,,
66,0.97,373.74,377.777,Not a public comment to be found.,26,,
67,0.97,377.777,381.013,"Thank you, Howard.",27,,
68,0.97,381.013,381.681,Up next is Codi.,27,,
69,0.97,381.681,385.318,Apologies if I did not say your name correct.,27,,
70,0.97,385.318,385.551,Wlcome.,27,,
71,0.97,385.551,386.552,"Hi, can you hear me?",28,,
72,0.97,386.552,387.987,"Yes, we can.",29,,
73,0.97,387.987,390.79,Can you hear me?,30,,
74,0.97,390.79,394.827,"Oh, all right, my name is Cody from district four.",30,,
75,0.97,394.827,404.737,I'm Commenting on favor of Rank-Choiced voting alternative.,30,,
76,0.97,404.737,407.373,Rank-Choiced voting has been tested.,30,,
77,0.97,407.373,414.447,Ranked choice voting is a tested method of maximizing voter--have become cynical of the democracy dominated by past voting.,30,,
78,0.97,414.447,424.023,This is an opportunity for Seattle to become a leader in voting reform and encourages a movement on local options in the Washington state Legislature.,30,,
79,0.97,424.023,430.663,"Please put Rank-Choiced voting on the Seattle ballot this fall, thank you.",30,,
80,0.97,430.663,431.831,Thank you.,31,,
81,0.97,431.831,436.202,The next Speaker is Harry Marr.,31,,
82,0.97,436.202,438.137,"Harry, welcome, please take it away.",31,,
83,0.97,438.137,445.711,"Hey, my name is Harry Marr, speaking out in favor of Rank-Choiced voting also.",32,,
84,0.97,445.711,447.046,I'm a data analyst.,32,,
85,0.97,447.046,448.047,I live in district seven.,32,,
86,0.97,448.047,449.515,I work in the U district.,32,,
87,0.97,449.515,461.294,I'm a member of the transit riders Union and just wanted to pass on that our membership unanimously voted in support of Rank-Choiced voting at our October 2020 meeting.,32,,
88,0.97,461.294,467.767,We like that it gives voters more power to elect who they want in the order that they want.,32,,
89,0.97,467.767,479.612,We joined a diverse coalition working across Washington to advance Rank-Choiced voting because we find it gives voters power and results and more just outcomes.,32,,
90,0.97,479.612,484.517,"We support adding Rank-Choiced voting to the ballot this November, so thank you.",32,,
91,0.97,484.517,486.285,"Thank you, Harry.",33,,
92,0.97,486.285,491.791,Up next is Betty Lao.,33,,
93,0.97,491.791,492.391,"Betty, welcome, take it away.",33,,
94,0.97,492.391,509.609,"Hi, I'm Betty Lao, resolution 32055 has arrived in the Nick of time, holding sound transit accountable for rent outcomes and their own racial equity goals.",34,,
95,0.97,509.609,521.954,"It allows more time for sound transit to answer community questions, address community concerns in detail, and collaborate with community on finding solutions to fourth Avenue impacts.",34,,
96,0.97,521.954,532.398,"And who knows, perhaps sound transit will identify a totally new alternative that leads fourth and fifth avenues in tact.",34,,
97,0.97,532.398,532.732,Thank you.,34,,
98,0.97,532.732,538.771,"Thank you, Betty.",35,,
99,0.97,538.771,540.239,Up next is Timothy kitchen.,35,,
100,0.97,540.239,540.64,"Welcome, Timothy.",35,,
101,0.97,540.64,548.714,"Hey there, my name--Hey, I'm on, right?",36,,
102,0.97,548.714,551.817,"Yep, we can hear you.",37,,
103,0.97,551.817,551.984,Yep.,37,,
104,0.97,551.984,557.49,"Hi, my name is Timothy kitchen, and I'm a resident of Seattle district four.",38,,
105,0.97,557.49,562.228,I support adding the Council's Rank-Choiced voting alternative to the ballot in November of 2022.,38,,
106,0.97,562.228,569.035,I'd like you to vote yes to postpone the vote until next week so the Council has time to review voting methods in Seattle.,38,,
107,0.97,569.035,570.736,My support comes from personal experience.,38,,
108,0.97,570.736,578.444,"I ran as a candidate three separate times for a Seattle organization that has more than 40,000 members.",38,,
109,0.97,578.444,581.581,This organization is the University of Washington Seattle.,38,,
110,0.97,581.581,586.485,It's been holding Rank-Choiced voting for at least 15 years in student body.,38,,
111,0.97,586.485,603.035,"The Uw student body elections use this for two reasons--it encouraged candidates to genuinely listen to all voters, because every single voter could vote for you without taking pour power from their first choice.",38,,
112,0.97,603.035,604.704,This Disincentivized negative campaigning.,38,,
113,0.97,604.704,611.01,This allows you to rank your candidate so that someone else can be your first choice.,38,,
114,0.97,611.01,614.614,Rank-Choiced voting empowers you to vote your conscience.,38,,
115,0.97,614.614,615.448,"Thank you, Timothy.",39,,
116,0.97,615.448,620.186,Up next Brett followed by Megan and then Elizabeth.,39,,
117,0.97,620.186,621.487,"Brett, take it away.",39,,
118,0.97,621.487,628.628,"Hello, my name is Brett Mullen from North Seattle, and I support adding Rank-Choiced voting option to the November ballot.",40,,
119,0.97,628.628,645.044,"I would list all the benefits of Ranked-Choice voting, but since time is limited and I trust you are already pretty familiar, I will put it as simply as I can--Rank-Choiced voting is the truest expression of the voter's preference.",40,,
120,0.97,645.044,655.721,"You can look to over 50 cities, two States, and several other countries to see Rank-Choiced voting is effective, efficient, and popular among people from all political persuasions and backgrounds.",40,,
121,0.97,655.721,663.295,"Thank you for your thoughtful consideration, and in the Rank-Choiced voting spirit of bringing more voices into the conversation, I yield back the rest of my time.",40,,
122,0.97,663.295,676.876,"Thank you, Brett, up next is Megan, followed by Elizabeth, and then Kamao.",41,,
123,0.97,676.876,677.243,"Megan, welcome.",41,,
124,0.97,677.243,682.281,Good afternoon.,42,,
125,0.97,682.281,688.254,"My name is Meg, and I'm representing the 2500 member of the Seattle metropolitan Chamber of Commerce.",42,,
126,0.97,688.254,696.228,Here today to comment on resolution 3255 on the recommended preferred alternatives for the West Seattle and Ballard link extensions.,42,,
127,0.97,696.228,700.266,With Eurge you to pass the resolution today as unanimously approved by the transportation committee last week.,42,,
128,0.97,700.266,706.005,And we ask that you continue to advocate with sound transit on behalf of the community.,42,,
129,0.97,706.005,713.512,We would also like to thank chair Pedersen and the rest of Council for listening to the community's preferences.,42,,
130,0.97,713.512,718.217,This resolution is important because it clearly communicates the city's position to sound transit.,42,,
131,0.97,718.217,728.227,The best outcome for the community is an agreement between the community and sound transit on a preferred alternative.,42,,
132,0.97,728.227,732.331,Thank you for the opportunity to comment today.,42,,
133,0.97,732.331,734.3,"Thank you, Megan.",43,,
134,0.97,734.3,741.34,"Up next is Elizabeth followed by Kamao, and then Francisco.",43,,
135,0.97,741.34,741.774,"Elizabeth, welcome.",43,,
136,0.97,741.774,743.042,"Hi, my name is Elizabeth.",44,,
137,0.97,743.042,749.448,"I'm a resident of district two, and I'm calling in support of the Ranked-Choice voting alternative.",44,,
138,0.97,749.448,755.254,"Councilmembers, I'm really excited about how Ranked-Choice voting would transform the campaign experience for you and other candidates.",44,,
139,0.97,755.254,767.366,"I recently got to attend a panel of candidate who is ran for city council in New York last November under their new Rank-Choiced voting system, which, by the way, created the most diverse city council in New York history.",44,,
140,0.97,767.366,776.342,"The candidates who were there, whether they won or lost, were thrilled about how Rank-Choiced voting reduced negative campaigning and helped them to connect better with voters.",44,,
141,0.97,776.342,794.059,"They loved that they could knock on the door of someone with a campaign sign for another candidate, and instead of writing that voter off they could have a conversation about shared values and ask a voter to rank them second or third.",44,,
142,0.97,794.059,799.398,"We desperately need elections about Values-Based policies, not toxic attacks.",44,,
143,0.97,799.398,800.332,Thank you.,44,,
144,0.97,800.332,801.934,"Thank you, Elizabeth.",45,,
145,0.97,801.934,805.337,"Up next is Kamao, followed by Francisco, and then Max Rapoport.",45,,
146,0.97,805.337,809.875,"Down the list quite a ways is Lisa Smith, who's not present.",45,,
147,0.97,809.875,818.184,"Lisa, if you want to join, now is the time.",45,,
148,0.97,818.184,820.519,"Kamao, welcome, please take it away.",45,,
149,0.97,820.519,827.86,I see you there.,45,,
150,0.97,827.86,829.962,"Press Star six, not pound six.",45,,
151,0.97,829.962,834.833,Can you hear me now?,46,,
152,0.97,834.833,835.601,"We can, welcome.",47,,
153,0.97,835.601,835.868,Great.,48,,
154,0.97,835.868,860.226,"I'm the executive director of Washington community alliance a network of organizations of color across the state, including dozens of organizations in Seattle focused on Multiracial democracy, which is why I'm very excited to also be speaking in support of adding Ranked-Choice voting alternative to the November ballot, which has been a top priority of our organizations.",48,,
155,0.97,860.226,881.914,"And that's because Ranked-Choice voting doesn't just make intuitive sense, as most of us want to communicate our preferences and have more voice and to name our first choice from our backup choices, it's also more widely used by communities of color, over 87% of people in New York City last election that used Rank-Choiced voting used the system.",48,,
156,0.97,881.914,899.698,"When you compare that to approval voting, the one that's much lower, and it also presents a serious legal liability and danger to the city as we would be the only city under that system to implement with state voting --",48,,
157,0.97,899.698,900.032,Thank you.,49,,
158,0.97,900.032,908.04,Up next is Francisco followed by Max Rapoport and then Elise.,49,,
159,0.97,908.04,908.474,"Francisco, welcome.",49,,
160,0.97,908.474,918.951,"I see you there, Francisco.",49,,
161,0.97,923.422,924.256,"Press Star six, not pound six.",49,,
162,0.97,924.256,933.599,"Francisco, I see you present, can you press Star six, not pound six.",49,,
163,0.97,933.599,938.17,We're going to move on and we'll come back to Francisco.,49,,
164,0.97,938.17,944.043,Max Rapoport followed by Elise and then Margo.,49,,
165,0.97,944.043,946.412,"Max, welcome, please take it away.",49,,
166,0.97,946.412,949.315,"And you can press Star six, Max.",49,,
167,0.97,949.315,949.848,There you are.,49,,
168,0.97,949.848,957.022,"Hi, my name is Max Rapoport, and I'm a resident of district three.",50,,
169,0.97,957.022,960.859,I'm speaking today in support of Rank-Choiced voting on the November ballot.,50,,
170,0.97,960.859,972.571,"Rank-Choiced voting is used in over a cities, counties, and States across the country, where it's shown to result in greater diversity of candidates and political viewpoints.",50,,
171,0.97,972.571,981.647,"Approval voting is largely untested, Disenfranchises voter who is choose to approve fewer candidates than others.",50,,
172,0.97,981.647,995.16,"With such a huge change to our electoral system, why would we choose to protect voters with fewer viable choices?",50,,
173,0.97,995.16,996.929,Please add Ranked-Choice voting.,50,,
174,0.97,996.929,997.83,Thank you.,51,,
175,0.97,997.83,1004.37,"Next up Elise, followed by Margo, and then Jordan.",51,,
176,0.97,1004.37,1006.939,"Elise, welcome, take it away.",51,,
177,0.97,1006.939,1007.906,"Hi, my name's Elise.",52,,
178,0.97,1007.906,1020.452,"I'm a registered voter in Ballard in the sixth district, and I'm also here to speak in support of adding Ranked-Choice voting to the November ballot.",52,,
179,0.97,1020.452,1044.109,"I am really proud of the fact that Seattle leads the way among the country in creating a representative democratic system, and I think our next best opportunity in this vein as a role model is to try Ranked-Choice voting, because it will create opportunities for every Seattleite to have their voice heard and for new ideas to flourish.",52,,
180,0.97,1044.109,1053.018,"In the spirit of encouraging democracy, the voters do deserve the opportunity to weigh in on this issue in November.",52,,
181,0.97,1053.018,1069.635,"So on initiative number 134, I support adding the Council's alternative to the ballot, and I'd like you to vote yes today to postpone the vote until next week to bet Ter Council's understanding of voting methods available to Seattle voters.",52,,
182,0.97,1069.635,1071.637,"Thank you, Elise.",53,,
183,0.97,1071.637,1079.778,Up next is Margo followed by Jordan and then Monique.,53,,
184,0.97,1079.778,1080.145,"Margo, welcome.",53,,
185,0.97,1080.145,1080.479,Thank you.,54,,
186,0.97,1080.479,1091.824,"Fellow members of General city Council, my name is Margo, and I live in the central district, and I'm here to speak in favor on adding a Ranked-Choice voting alternative to the November ballot.",54,,
187,0.97,1091.824,1109.174,"And I know that the Tech executives, they want to paint a picture to their effort to get approval voting on the ballot as democratic, but just because they went through the checklist to get the support doesn't mean the effort has genuine community support.",54,,
188,0.97,1109.174,1121.186,"No one has debated approval voting in Seattle since before 2022--or before 2022 it's never been proposed, I has no civic or community group endorsing it.",54,,
189,0.97,1121.186,1127.292,"Go to their campaign Website, you'll find no Endorsements from major community groups are listed because it doesn't have any.",54,,
190,0.97,1127.292,1140.506,They tried to buy their way to the ballot with out-of-state executives--believing they Úwere supporting Ranked-Choice voting.,54,,
191,0.97,1140.506,1148.247,So it's only fair this Council give us a real option with genuine support like Ranked-Choice voting.,54,,
192,0.97,1148.247,1151.049,"Thank you, Margo.",55,,
193,0.97,1151.049,1160.526,"Up next is Jordan, followed my Monique, then Eric.",55,,
194,0.97,1160.526,1160.893,"Jordan, welcome.",55,,
195,0.97,1160.893,1168.5,"My name is Jordan, assistant director of Alki Beach Academy speaking on resolution 32055.",56,,
196,0.97,1168.5,1175.908,It would erase half of our community's infant care with no plan to assist with Reestablishment of these services.,56,,
197,0.97,1175.908,1179.912,It would COB sum the only entrance to the steel mill and proposes no plan to mitigate that impact.,56,,
198,0.97,1179.912,1196.328,"It would also position the station in a way that presents significant safety issues, accessibility concerns, and fails the Dell ridge community, requiring that we lose in the long term anything preserved in the short term.",56,,
199,0.97,1196.328,1198.83,Nese consequences are not addressed.,56,,
200,0.97,1198.83,1201.9,Passing the resolution pushes sound transit to make sound decisions.,56,,
201,0.97,1201.9,1209.841,Please pass this resolution and state no preference in Delridge.,56,,
202,0.97,1209.841,1210.275,Thank you.,56,,
203,0.97,1210.275,1211.443,"Thank you, Jordan.",57,,
204,0.97,1211.443,1220.419,Up next is Monique followed by Eric and then Jude.,57,,
205,0.97,1220.419,1220.819,"Monique, welcome.",57,,
206,0.97,1220.819,1227.826,"I see you there, Monique.",57,,
207,0.97,1227.826,1228.36,Is your phone muted?,57,,
208,0.97,1228.36,1230.596,You're off mute --,57,,
209,0.97,1230.596,1231.163,Yes.,58,,
210,0.97,1231.163,1232.497,"There you are, welcome.",59,,
211,0.97,1232.497,1233.031,Thank you.,60,,
212,0.97,1233.031,1238.003,"Yes, my name is Monique, and I live in district two.",60,,
213,0.97,1238.003,1245.01,And I support adding Ranked-Choice voting because I believe that it's the best way to make elections truly representative and actually make our votes matter.,60,,
214,0.97,1245.01,1254.086,"When I'm voting, I want to be able to say which candidates I genuinely want to vote for without throwing away my vote.",60,,
215,0.97,1254.086,1259.324,I think that Rank-Choiced voting is the only method that makes this possible.,60,,
216,0.97,1259.324,1280.278,"Also, Arecd is a critical reform for my district because it will help ensure people of color are still represented as Gentrification pushes people of color out of this district as well as the neighboring central district, the Poc voting blocks are removed, and so to make sure that those who are still here are represented, we need Ranked-Choice voting.",60,,
217,0.97,1280.278,1282.681,Thank you for your time.,60,,
218,0.97,1282.681,1283.882,"Thank you, Monique.",61,,
219,0.97,1283.882,1286.084,Up next is Eric followed Bijou then Kirk.,61,,
220,0.97,1286.084,1288.387,We would be then at Lisa Smith.,61,,
221,0.97,1288.387,1292.057,"Lisa, you are not present at this time.",61,,
222,0.97,1292.057,1297.362,"Please do call into the phone number provided to you on your Email response, not the listen line.",61,,
223,0.97,1297.362,1301.466,Now is your time to call.,61,,
224,0.97,1301.466,1303.502,In up next is Eric.,61,,
225,0.97,1303.502,1303.835,"Welcome, Eric.",61,,
226,0.97,1303.835,1305.47,"I see you there, Eric.",61,,
227,0.97,1305.47,1311.91,"Just press Star six, not pound six.",61,,
228,0.97,1311.91,1312.11,Hi.,62,,
229,0.97,1312.11,1312.344,Hi.,63,,
230,0.97,1312.344,1315.947,"Hi, Council, my name is Eric, District four.",64,,
231,0.97,1315.947,1324.489,I'd like to encourage members to add Ranked-Choice voting as an alternative to approval voting on the ballot in November.,64,,
232,0.97,1324.489,1330.629,"Ranked-Choice voting is effective, it's just, and voters should be able to make that decision in November.",64,,
233,0.97,1330.629,1336.868,I'd specifically like to call on my representative Alex Pedersen to support adding Ranked-Choice voting to the ball lot.,64,,
234,0.97,1336.868,1341.206,"Thank you very much for your time today, Councilmembers.",64,,
235,0.97,1341.206,1343.008,"Thank you, Eric.",65,,
236,0.97,1343.008,1345.677,Up next is Jude followed by Kirk.,65,,
237,0.97,1345.677,1352.651,"Lisa Smith, you are not present, followed by Dan.",65,,
238,0.97,1352.651,1352.984,"Jude, welcome.",65,,
239,0.97,1352.984,1356.855,Hi.,66,,
240,0.97,1356.855,1357.456,This is Jude.,66,,
241,0.97,1357.456,1363.628,I am calling as a representative from the urban League of metropolitan Seattle.,66,,
242,0.97,1363.628,1379.811,"I'm the civic engagement Organizer there, which basically means that I am the person in our organization on the ground working with communities encouraging voter education and encouraging folks to really use their voice and have their voices counted when it comes to election season.",66,,
243,0.97,1379.811,1413.712,"I'm speaking in support of Ranked-Choice voting and providing that alternative on the ballot to approval voting because I know that our communities are unaware that approval voting is different from Ranked-Choice voting, and we need an opportunity to provide a concrete opportunity for our community members to learn about alternative voting strategies and battle some of the apathy and disengagement that we see in local politics when black community members do not see their peers represented on--in elected Council.",66,,
244,0.97,1413.712,1419.484,"Thank you for your time, and please continue with Ranked-Choice voting at the city level.",66,,
245,0.97,1419.484,1420.318,"Thank you, Jude.",67,,
246,0.97,1420.318,1439.104,"Up next is Kirk followed by Lisa Smith, who is not present, Dan, then Jaclyn, Lastly, we have Údavid Hanes, and we will then come back to Francisco before moving on to those in our chambers.",67,,
247,0.97,1439.104,1439.438,"Kirk, welcome.",67,,
248,0.97,1439.438,1439.771,Thank you.,68,,
249,0.97,1439.771,1445.811,"Kirk, District six, urging the city of Seattle to transfer ownership of city hall park to King County.",68,,
250,0.97,1445.811,1456.888,"It's so extraordinary that the judges of King County that take no position on any political issue, much less an administrative issue, would come forward and do this, take this position.",68,,
251,0.97,1456.888,1468.967,And I think part of it might be because nowhere in King County has a park been completely closed to public access the way City Hall park has been and the way Ballard Commons has been.,68,,
252,0.97,1468.967,1478.877,"Ballard Commons has been closed for more than two years, first because it was taken over by a colony of Squatters and run as a criminal operation.",68,,
253,0.97,1478.877,1483.915,A fair amount of arson was going on as well.,68,,
254,0.97,1483.915,1488.72,Then it was closed for environmental radiation.,68,,
255,0.97,1488.72,1489.421,Now it's closed endlessly.,68,,
256,0.97,1489.421,1491.122,Our Park is not accessible to us at this time.,68,,
257,0.97,1491.122,1496.595,And think King county can do a better job of this.,68,,
258,0.97,1496.595,1503.935,"They've never sunk so low as far as park access goes, so support King County administration, thank you.",68,,
259,0.97,1503.935,1504.769,Thank you.,69,,
260,0.97,1504.769,1507.539,"Up next is Lisa Smith, still not present.",69,,
261,0.97,1507.539,1510.742,Now is the time to call in.,69,,
262,0.97,1510.742,1514.279,"Dan followed by Jaclyn, David Hanes, you are not present at this time.",69,,
263,0.97,1514.279,1521.453,"Please do call in to the line provided to you in the Email, not the listen line.",69,,
264,0.97,1521.453,1521.786,"Dan, welcome.",69,,
265,0.97,1521.786,1527.559,"Hi, I'm Dan Eisenberg, I'm a resident of Ballard and a professor at the University of Washington.",70,,
266,0.97,1527.559,1529.661,"I'm, of course, speaking for myself, not the University.",70,,
267,0.97,1529.661,1539.437,And I'm speaking to say that I hope the Council will give voters a chance to weigh in on Ranked-Choice voting as an option in future elections.,70,,
268,0.97,1539.437,1548.713,"I think Ranked-Choice voting will better allow voters to express their will and to help combat polarization, which even happens here in Seattle.",70,,
269,0.97,1548.713,1559.424,Ranked-Choice voting allows voters to simply vote for the candidates they most prefer in order without having to worry about the most Electable candidates or against candidates they don't prefer.,70,,
270,0.97,1559.424,1566.965,"It better allows the will of voters to be expressed, and there's less to be gained.",70,,
271,0.97,1566.965,1569.834,Thank you for your time and consideration.,70,,
272,0.97,1569.834,1570.368,"Thank you, Dan.",71,,
273,0.97,1570.368,1583.081,"Next is Jaclyn woo, and then we'll go back to Francisco Aragon, because Lisa Smith and David Hanes are not present.",71,,
274,0.97,1583.081,1583.848,"Jaclyn, welcome.",71,,
275,0.97,1583.848,1596.828,"My name is Jaclyn woo, I'm 32055.Ing comment on resolution the Chinatown/International district is my home, and I'm concerned for the sound Transsis expansion into the neighborhood.",72,,
276,0.97,1596.828,1611.376,"I think the Council for recommending sound transit conduct an additional six to nine months of community outreach, however, I am disappointed that this recommended outreach will only focus on the fourth and Fifth Avenue shallow options.",72,,
277,0.97,1611.376,1616.514,The two options will displace up to 20 small businesses and a whole apartment complex.,72,,
278,0.97,1616.514,1632.931,I ask the Council to amend the resolution to recommend that sound transit go back to the drawing board and find other station alternatives to the existing options that Prioritize historic preservation and keeping small businesses and residents in the neighborhood.,72,,
279,0.97,1632.931,1643.942,I also ask that the Councilmembers attend the next sound transit commit meeting to oppose the fourth and Fifth Avenue shallow options.,72,,
280,0.97,1643.942,1644.242,Thank you.,72,,
281,0.97,1644.242,1644.576,Thank you.,73,,
282,0.97,1644.576,1646.444,"Francisco Aragon, we'll come back to you.",73,,
283,0.97,1646.444,1649.214,"Francisco, if you're--I see you in the meeting.",73,,
284,0.97,1649.214,1659.157,"If you press Star six, you will Unmute and be able to provide public comment.",73,,
285,0.97,1659.157,1660.191,"Now is your time, Francisco.",73,,
286,0.97,1660.191,1665.83,"Seeing Francisco not coming off mute, we will come back to him at the very end for one last attempt.",73,,
287,0.97,1665.83,1669.3,"Francisco, this is your time coming soon.",73,,
288,0.97,1669.3,1682.814,"Up next, we have Robert, Alex Zimmerman, John Burbank, Michael Taylor Judd, and Joe Reilly.",73,,
289,0.97,1682.814,1683.214,"Robert, welcome.",73,,
290,0.97,1683.214,1690.488,"Hello, my name is Robert, and I'm here to encourage you to support Ranked-Choice voting in Seattle elections.",74,,
291,0.97,1690.488,1698.63,"For many years, I've been really frustrated with the political system's failures and the Divisiveness we see.",74,,
292,0.97,1698.63,1703.535,I did not get seriously involved in finding a solution until after the 2016 election.,74,,
293,0.97,1703.535,1719.851,"In researching what could be done, I realized that the voting systems used around the country, including our top two system, are the root cause of my frustrations, because they Incentivize elected officials and candidates to behave as they do.",74,,
294,0.97,1719.851,1732.263,I concluded that ranked choice voting is the only voting system that provides the right incentives and addresses my concerns.,74,,
295,0.97,1732.263,1738.369,"Ranked-Choice voting is widely used, improves elections and creates governments that truly reflect the communities they serve.",74,,
296,0.97,1738.369,1742.474,I encourage you to let Seattle voters decide if they agree.,74,,
297,0.97,1742.474,1743.041,Thank you.,74,,
298,0.97,1743.041,1744.209,Thank you.,75,,
299,0.97,1744.209,1755.42,"Up next is Alex Zimmerman, followed by John Burbank and Michael Taylor Judd.",75,,
300,0.97,1755.42,1756.554,"Alex, welcome.",75,,
301,0.97,1756.554,1756.955,"Thank you, sir.",76,,
302,0.97,1756.955,1784.849,"Rp darn Fascist Nazi mob--how you can recommend to sound transit board when I call them a Nazi psychopath, our President, our men capped me after I speak only for five second.",76,,
303,0.97,1784.849,1791.99,"But this normal for Seattle, Yeah, different opinion five seconds more than enough.",76,,
304,0.97,1791.99,1792.724,You nothing different.,76,,
305,0.97,1792.724,1797.028,You same human garbage or same Nazi psychopath.,76,,
306,0.97,1797.028,1797.796,You get one minute.,76,,
307,0.97,1797.796,1804.936,"Where do you see a business opinion and I talk about this for many year, hundred times.",76,,
308,0.97,1804.936,1808.439,How you can see different opinion for one minute?,76,,
